ReconstructionWithConfidenceIntervalTimeSeries

  Year	Obs RO (mm)	Reconstructed	Lower 50% CI	Upper 50% CI
   1968	      464.4	    780.296	    607.829	    952.763
   1969	     1263.6	    979.557	     807.09	    1152.02
   1970	      810.4	     554.72	    382.253	    727.188
   1971	      853.4	    947.994	    775.527	    1120.46
   1972	      496.7	    731.428	    558.961	    903.895
   1973	      699.4	    361.681	    189.214	    534.148
   1974	      938.1	    840.985	    668.518	    1013.45
   1975	      753.7	    685.818	    513.351	    858.285
   1976	      258.3	    191.537	    19.0697	    364.004
   1977	      135.4	    496.645	    324.178	    669.112
   1978	      748.9	    1043.99	    871.523	    1216.46
   1979	      522.2	    466.622	    294.155	    639.089
   1980	     1063.8	    1073.43	    900.959	    1245.89
   1981	      312.9	    418.933	    246.466	      591.4
   1982	     1489.5	     1260.9	    1088.43	    1433.36
   1983	     1762.8	    1252.04	    1079.57	    1424.51
   1984	     1107.5	    764.791	    592.324	    937.258
   1985	      512.6	    533.815	    361.347	    706.282
   1986	     1231.5	    1301.88	    1129.41	    1474.35
   1987	      287.9	   -172.921	   -345.389	  -0.454116
   1988	      178.1	    47.0197	   -125.448	    219.487
   1989	      560.7	    632.963	    460.495	     805.43
   1990	        303	    469.452	    296.985	    641.919
   1991	      283.6	    510.728	    338.261	    683.195
   1992	      217.2	    269.139	    96.6713	    441.606
   1993	      874.3	    875.723	    703.256	    1048.19
   1994	      226.9	    431.199	    258.731	    603.666
   1995	     1433.3	    1076.69	    904.227	    1249.16
   1996	     1040.6	    964.458	    791.991	    1136.93
   1997	     1295.3	    709.175	    536.708	    881.642
   1998	     1015.7	     1134.8	    962.328	    1307.26
   1999	      949.9	    1142.17	    969.706	    1314.64
   2000	      563.2	    1146.41	    973.939	    1318.87
   2001	        269	   -249.031	   -421.499	   -76.5641
   2002	      442.5	    560.354	    387.886	    732.821
   2003	      573.9	    1158.84	    986.373	    1331.31
   2004	      423.7	     664.22	    491.752	    836.687
   2005	      791.1	    900.404	    727.937	    1072.87
   2006	     1345.2	    960.813	    788.346	    1133.28
   2007	      337.3	    208.412	    35.9443	    380.879
   2008	      344.7	    729.118	    556.651	    901.585
   2009	      479.9	    869.023	    696.556	    1041.49
   2010	      598.2	    1349.53	    1177.06	       1522
   2011	     1317.6	    1212.59	    1040.12	    1385.06
   2012	      372.2	    736.567	      564.1	    909.034
   2013	      339.5	    488.862	    316.395	    661.329
   2014	      212.5	     644.65	    472.183	    817.117
   2015	      181.1	    934.798	    762.331	    1107.27
   2016	      626.6	    678.435	    505.968	    850.902
   2017	     2150.3	    990.761	    818.294	    1163.23
   2018	        717	    972.633	    800.166	     1145.1
   2019	     1067.8	    1102.53	    930.059	    1274.99
   2020	      380.2	    798.558	     626.09	    971.025
   2021	      187.6	         NA	         NA	         NA
   2022	      505.3	         NA	         NA	         NA
   2023	     1003.4	         NA	         NA	         NA
